Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-03-04,39.599998474121094,40.805999755859375,39.5,40.20800018310547,32445500,0,0.0
2016-03-07,39.5359992980957,41.939998626708984,39.47999954223633,41.05799865722656,26647000,0,0.0
2016-03-08,40.70000076293945,41.5,40.439998626708984,40.52000045776367,20893500,0,0.0
2016-03-09,40.90399932861328,41.874000549316406,40.55799865722656,41.74399948120117,16043000,0,0.0
2016-03-10,42.0,42.65800094604492,40.13399887084961,41.0359992980957,25962500,0,0.0
2016-03-11,41.58599853515625,41.88399887084961,41.066001892089844,41.5,16715500,0,0.0
2016-03-14,42.529998779296875,43.34400177001953,42.12799835205078,43.029998779296875,20328500,0,0.0
2016-03-15,42.854000091552734,43.79399871826172,42.29999923706055,43.667999267578125,15902500,0,0.0
2016-03-16,43.599998474121094,44.51599884033203,43.40399932861328,44.38600158691406,17583500,0,0.0
2016-03-17,44.29399871826172,45.70000076293945,44.0,45.2760009765625,18914500,0,0.0
2016-03-18,45.81999969482422,46.895999908447266,45.61199951171875,46.54800033569336,23559000,0,0.0
2016-03-21,47.06800079345703,47.97600173950195,47.0,47.66400146484375,26539000,0,0.0
2016-03-22,47.44200134277344,47.79800033569336,46.512001037597656,46.847999572753906,21580000,0,0.0
2016-03-23,46.4739990234375,46.94599914550781,44.40599822998047,44.51599884033203,24744000,0,0.0
2016-03-24,43.15599822998047,45.77799987792969,43.0,45.54999923706055,24804500,0,0.0
2016-03-28,46.321998596191406,46.96200180053711,45.0,46.051998138427734,19628500,0,0.0
2016-03-29,45.97800064086914,46.47600173950195,45.066001892089844,46.0260009765625,20071500,0,0.0
2016-03-30,47.018001556396484,47.099998474121094,45.29999923706055,45.37799835205078,20165000,0,0.0
2016-03-31,45.86800003051758,47.48400115966797,45.00199890136719,45.95399856567383,40064500,0,0.0
2016-04-01,48.965999603271484,49.58000183105469,46.650001525878906,47.518001556396484,79987500,0,0.0
2016-04-04,49.82400131225586,50.42399978637695,48.72800064086914,49.39799880981445,67376500,0,0.0
2016-04-05,48.099998474121094,51.3120002746582,48.0,51.09400177001953,49743500,0,0.0
2016-04-06,50.79399871826172,53.54800033569336,50.689998626708984,53.08399963378906,58527500,0,0.0
2016-04-07,53.290000915527344,53.86800003051758,50.902000427246094,51.439998626708984,44281000,0,0.0
2016-04-08,52.099998474121094,52.16400146484375,49.604000091552734,50.013999938964844,36819500,0,0.0
2016-04-11,50.20000076293945,51.79800033569336,49.060001373291016,49.98400115966797,45808500,0,0.0
2016-04-12,49.900001525878906,50.36000061035156,48.72600173950195,49.56399917602539,28816000,0,0.0
2016-04-13,49.70199966430664,51.099998474121094,49.465999603271484,50.90599822998047,24628000,0,0.0
2016-04-14,50.599998474121094,51.36800003051758,50.209999084472656,50.37200164794922,20661000,0,0.0
2016-04-15,50.262001037597656,50.91999816894531,49.82400131225586,50.902000427246094,18762000,0,0.0
2016-04-18,50.44599914550781,51.6619987487793,50.332000732421875,50.7760009765625,21357000,0,0.0
2016-04-19,50.624000549316406,50.874000549316406,48.25,49.4739990234375,31787500,0,0.0
2016-04-20,49.25199890136719,50.731998443603516,48.29999923706055,49.99399948120117,25970500,0,0.0
2016-04-21,49.79800033569336,50.18000030517578,49.38199996948242,49.65800094604492,13915500,0,0.0
2016-04-22,49.77799987792969,50.79999923706055,49.141998291015625,50.75,18931500,0,0.0
2016-04-25,50.60200119018555,51.47600173950195,50.152000427246094,50.36399841308594,18351500,0,0.0
2016-04-26,50.40999984741211,51.145999908447266,49.87799835205078,50.74800109863281,16119000,0,0.0
2016-04-27,50.54999923706055,51.0,49.880001068115234,50.29399871826172,16029000,0,0.0
2016-04-28,49.970001220703125,50.68600082397461,49.487998962402344,49.54199981689453,12595000,0,0.0
2016-04-29,49.62799835205078,49.68600082397461,47.5620002746582,48.152000427246094,27069000,0,0.0
2016-05-02,48.29999923706055,48.63800048828125,46.9640007019043,48.36000061035156,19219500,0,0.0
2016-05-03,47.47200012207031,47.78200149536133,46.32400131225586,46.4640007019043,21511000,0,0.0
2016-05-04,46.05799865722656,46.891998291015625,44.08000183105469,44.512001037597656,43502500,0,0.0
2016-05-05,45.69200134277344,45.72800064086914,41.95800018310547,42.305999755859375,56274000,0,0.0
2016-05-06,42.17399978637695,43.27399826049805,41.62200164794922,42.986000061035156,28426000,0,0.0
2016-05-09,43.14400100708008,43.22999954223633,41.36000061035156,41.784000396728516,23882000,0,0.0
2016-05-10,41.5099983215332,41.89400100708008,41.0,41.737998962402344,20353000,0,0.0
2016-05-11,41.518001556396484,43.09600067138672,41.209999084472656,41.79199981689453,25809500,0,0.0
2016-05-12,42.28799819946289,42.33399963378906,40.731998443603516,41.45600128173828,18252500,0,0.0
2016-05-13,41.555999755859375,42.2400016784668,41.34000015258789,41.52199935913086,14114000,0,0.0
2016-05-16,41.630001068115234,42.630001068115234,41.58399963378906,41.65800094604492,14747000,0,0.0
