Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,slug,code
1,Max Aarons,eng ENG,DF,Norwich City,21-249,2000,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.11,0.13,0.01,0.13,Matches,Max-Aarons,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25-059,1996,3,3,250,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0.3,0.3,0.9,1.2,0.13,0.32,0.45,0.13,0.45,Matches,Che-Adams,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,FW,Wolves,20-096,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.35,0.00,0.35,0.35,0.35,Matches,Rayan-Ait-Nouri,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23-146,1998,3,3,250,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.03,0.10,0.13,0.03,0.13,Matches,Kristoffer-Ajer,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26-204,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.20,0.00,0.20,0.20,0.20,Matches,Nathan-Ake,eaeca114
6,Marc Albrighton,eng ENG,MF,Leicester City,31-296,1989,1,1,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Marc-Albrighton,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30-152,1991,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.14,0.13,0.26,0.14,0.26,Matches,Thiago-Alcantara,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-338,1998,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,1.8,2.0,0.06,0.60,0.67,0.06,0.67,Matches,Trent-Alexander-Arnold,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28-343,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,Alisson,7a2e46a8
10,Allan,br BRA,MF,Everton,30-245,1991,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.2,0.3,0.01,0.08,0.09,0.01,0.09,Matches,Allan,cc700722
11,Dele Alli,eng ENG,MF,Tottenham,25-152,1996,3,3,270,3.0,1,0,0,1,1,1,0,0.33,0.00,0.33,0.00,0.00,1.0,0.3,0.0,0.3,0.34,0.00,0.34,0.09,0.09,Matches,Dele-Alli,cea4ee8f
12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-212,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches,Miguel-Almiron,862a1c15
13,Marcos Alonso,es ESP,DF,Chelsea,30-256,1990,3,3,265,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.1,0.1,0.6,0.7,0.04,0.21,0.25,0.04,0.25,Matches,Marcos-Alonso,f4290206
14,Steven Alzate,co COL,MF,Brighton,23-002,1998,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.17,0.17,0.00,0.17,Matches,Steven-Alzate,ad1f61f3
15,Daniel Amartey,gh GHA,DF,Leicester City,26-263,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,Daniel-Amartey,1a4ef233
16,Joachim Andersen,dk DEN,DF,Crystal Palace,25-102,1996,3,2,214,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.06,0.08,0.02,0.08,Matches,Joachim-Andersen,e34fc66d
17,Michail Antonio,jm JAM,FW,West Ham,31-166,1990,3,3,267,3.0,4,3,4,0,1,0,0,1.35,1.01,2.36,1.35,2.36,2.5,2.2,1.2,3.4,0.84,0.40,1.24,0.75,1.15,Matches,Michail-Antonio,ac05f970
18,Adam Armstrong,eng ENG,FW,Southampton,24-212,1997,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,1.1,1.1,0.4,1.5,0.37,0.15,0.52,0.37,0.52,Matches,Adam-Armstrong,68c720b5
19,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-084,1989,2,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,Pierre-Emerick-Aubameyang,d5dd5f1f
20,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-364,1991,3,2,203,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.07,0.11,0.04,0.11,Matches,Jordan-Ayew,da052c14
21,Luke Ayling,eng ENG,DF,Leeds United,30-016,1991,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,Luke-Ayling,420d7c7d
